股票代號,股票名稱,,近240日成交量合計,近240日籌碼集中度
1440,南紡,,619941,0
1441,大東,,16250,5.8
1442,名軒,,195093,2.7
1443,立益物流,,39208,0.8
1444,力麗,,587742,2.2
1445,大宇,,27049,1.7
1446,宏和,,35736,-1
1447,力鵬,,299794,0.4
1449,佳和,,91493,-1
1451,年興,,91095,1.4
1452,宏益,,40327,-0.9
1453,大將,,441370,-0.6
1454,台富,,80887,1
1455,集盛,,345687,7.4
1456,怡華,,25270,3.5
1457,宜進,,95524,7.9
1459,聯發,,79409,2.8
1460,宏遠,,179280,-2.2
1463,強盛,,20557,19.3
1464,得力,,80025,-2.3
1465,偉全,,16035,9.2
1466,聚隆,,34442,8.5
1467,南緯,,701024,-0.2
1468,昶和,,24597,0.4
1470,大統新創,,22422,-1.8
1471,首利,,160812,0.7
1472,三洋實業,,5717,0.7
1473,台南,,45949,7.5
1474,弘裕,,77406,5.4
1475,業旺,,25312,-2.9
1476,儒鴻,,351436,-0.7
1477,聚陽,,705107,0
1503,士電,,84783,3
1504,東元,,1026817,-5.9
1506,正道,,138745,-0.2
1507,- -,,9406,- -
1512,瑞利,,40995,-1.5
1513,中興電,,3086334,1.7
1514,亞力,,741308,-0.2
1515,力山,,264674,-0.9
1516,川飛,,157952,-1.3
1517,利奇,,280665,-1
1519,華城,,564929,1.7
1521,大億,,11270,0.6
1522,堤維西,,1465702,-0.2
1522A,堤維西甲特,,1317,28.1
1524,耿鼎,,3494455,-0.4
1525,江申,,10664,4.9
1526,日馳,,122427,0.5
1527,鑽全,,76261,0.3
1528,恩德,,202179,-1.9
1529,樂事綠能,,880354,-1.1
1530,亞崴,,5804,-7.6
1531,高林股,,31234,-0.6
1532,勤美,,104521,-1.2
1533,車王電,,333755,-0.3
1535,中宇,,13744,-0.9
1536,和大,,457217,-2.2
1537,廣隆,,22975,-2.9
1538,正峰,,6078,0.1
1539,巨庭,,564712,-0.4
1540,喬福,,63914,0.4
1541,錩泰,,43741,-2.4
1558,伸興,,19322,-5.7
1560,中砂,,2260152,-0.4
1565,精華,,31289,-7.3
1568,倉佑,,416139,-0.1
1569,濱川,,116607,-0.8
1570,力肯,,37910,2.6
1580,新麥,,18894,-14.4
1582,信錦,,40820,-5.2
1583,程泰,,2999,2.7
1584,精剛,,896836,-1.9
1586,和勤,,44130,8
1587,吉茂,,54166,1.7
1589,永冠-KY,,132546,1.5
1590,亞德客-KY,,235166,0.5
1591,駿吉-KY,,116759,-1.1
1593,祺驊,,11069,2.6
1595,川寶,,8138,3.9
1597,直得,,26955,3.8
1598,岱宇,,73549,3.6
1599,宏佳騰,,64631,1.3
1603,華電,,142946,0.2
1604,聲寶,,111157,2.7
1605,華新,,15121097,1.1
1608,華榮,,305991,-0.8
1609,大亞,,1645743,0.2
1611,中電,,917942,-0.9
1612,宏泰,,412195,-1.5
1614,三洋電,,29807,4.3
1615,大山,,13991,-1.6
1616,億泰,,72137,0.4
1617,榮星,,18514,17.3
1618,合機,,129153,0.8
1626,艾美特-KY,,49381,-1.4
1701,中化,,502424,0.8
1702,南僑,,61108,-0.8
1707,葡萄王,,86304,-1.2
1708,東鹼,,4128502,0
1709,和益,,953866,-2.8
1710,東聯,,471819,2.8
1711,永光,,700528,1.4
1712,興農,,1013430,0.6
1713,國化,,20266,7
1714,和桐,,560597,-4.6
1717,長興,,870934,-2
1718,中纖,,650405,3.2
1720,生達,,265817,-0.6
1721,三晃,,820164,-0.1
1722,台肥,,1130787,0.1
1723,中碳,,132958,2
1725,元禎,,62957,-0.4
1726,永記,,6943,-8.9
1727,中華化,,502887,-0.4
1730,花仙子,,6306,-0.1
1731,美吾華,,98237,2.4
1732,毛寶,,897454,0.1
1733,五鼎,,113484,1
1734,杏輝,,562589,0.8
1735,日勝化,,4806,-1.6
1736,喬山,,293195,2.7
1737,臺鹽,,42433,-0.7
1742,台蠟,,35976,2.5
1752,南光,,350686,-0.2
1760,寶齡富錦,,2359539,0.6
1762,中化生,,231108,-1.1
1773,勝一,,164296,-1.2
1776,展宇,,8130,-3.2
1777,生泰,,19357,2.7
1781,合世,,30000,0.3
1783,和康生,,179907,-1.9
1784,訊聯,,48056,3.8
1785,光洋科,,542540,0.5
1786,科妍,,42416,-0.5
1788,杏昌,,7868,-2.1
1789,神隆,,346429,1.2
1795,美時,,2768870,0.9
1796,金穎生技,,18063,-1.9
1799,易威,,18385,6.2
1802,台玻,,2096462,2.3
1805,寶徠,,10685,3.4
1806,冠軍,,179467,-0.4
1808,潤隆,,129535,4.4
1809,中釉,,116703,-0.5
1810,和成,,637057,-2.7
1813,寶利徠,,26441,14
1815,富喬,,376758,-0.5
1817,凱撒衛,,18978,-2.3
1903,士紙,,31641,3.2
1904,正隆,,380472,-3.1
1905,華紙,,304506,1.7
1906,寶隆,,210751,0
1907,永豐餘,,489655,0.1
1909,榮成,,676878,-2.6
2002,中鋼,,11647901,0.2
2002A,中鋼特別股,,9650,-6.6
2006,東和鋼鐵,,1197157,2.2
2007,燁興,,476230,-0.4
2008,高興昌,,19778,12.3
2009,第一銅,,766608,-0.1
2010,春源,,315247,2.2
2012,春雨,,59119,5.1
2013,中鋼構,,219229,5.7
2014,中鴻,,3664291,-0.5
2015,豐興,,112747,-2.7
2017,官田鋼,,230544,-2.3
2020,美亞,,109934,-1.1
2022,聚亨,,252112,0.6
2023,燁輝,,1347220,0.9
2024,志聯,,81387,0.5
2025,千興,,90116,12.1
2027,大成鋼,,3829235,2.1
2028,威致,,315912,0.7
2029,盛餘,,258148,0.4
2030,彰源,,1077914,0.4
2031,新光鋼,,702901,1.6
2032,新鋼,,548050,-0.2
2033,佳大,,330765,-0.1
2034,允強,,604569,-0.2
2035,唐榮,,26323,0.2
2038,海光,,386699,0.2
2049,上銀,,683954,-5.5
2059,川湖,,92122,-4.7
2061,風青,,29266,5.4
2062,橋椿,,59044,-1.5
2063,世鎧,,37580,1.4
2064,晉椿,,129433,0.1
2065,世豐,,26011,4.4
2066,世德,,49668,-2.9
2067,嘉鋼,,7600,12.9
2069,運錩,,279228,-0.1
2070,精湛,,14668,5.7
2101,南港,,388393,0.5
2102,泰豐,,308316,-5.2
2103,台橡,,497355,-7.2
2104,國際中橡,,487265,-5.1
2105,正新,,1276681,2.6
2106,建大,,318842,1.8
2107,厚生,,60485,4.4
2108,南帝,,388165,-3.5
2109,華豐,,22651,6.4
2114,鑫永銓,,15728,0.6
2115,六暉-KY,,13969,-3.1
2201,裕隆,,2352670,1.1
2204,中華,,454065,-5.1
2206,三陽工業,,819030,2.2
2207,和泰車,,95767,0.5
2208,台船,,437452,1.5
2211,長榮鋼,,204401,5.5
2221,大甲,,44824,0.3
2227,裕日車,,14819,-0.9
2228,劍麟,,42675,2.8
2230,泰茂,,201734,-0.8
2231,為升,,129047,-0.3
2233,宇隆,,200684,-1.8
2235,謚源,,6472,3.3
2236,百達-KY,,31053,-7.7
2239,英利-KY,,32168,-0.8
2241,艾姆勒,,22500,3.6
2243,宏旭-KY,,142234,-0.2
2247,汎德永業,,8362,-0.3
2250,IKKA-KY,,12016,2.3
2301,光寶科,,2971441,0.4
2302,麗正,,217082,1
2303,聯電,,21448009,-4
2305,全友,,1417760,1.8
2308,台達電,,2157041,1.2
2312,金寶,,2470668,2.5
2313,華通,,4490894,2.1
2314,台揚,,648333,-2.4
2316,楠梓電,,77194,7.4
2317,鴻海,,10058708,-4.3
2321,東訊,,4108,11.4
2323,中環,,1655486,-0.9
2324,仁寶,,5672201,-0.8
2327,國巨,,805368,1.2
2328,廣宇,,628955,2.7
2329,華泰,,556177,-1
2330,台積電,,12403281,-7.1
2331,精英,,706913,5
2332,友訊,,521723,-0.4
2337,旺宏,,3317097,3.7
2338,光罩,,1379628,1.4
2340,台亞,,1433733,-1.1
2342,茂矽,,303936,1.3
2344,華邦電,,6650983,-0.9
2345,智邦,,1135139,0
2347,聯強,,1919807,1
2348,海悅,,36377,-0.6
2348A,海悅特甲,,1704,2.7
2349,錸德,,266817,-1.9
2351,順德,,634838,-0.8
2352,佳世達,,1353067,-0.5
2353,宏碁,,4717600,-0.6
2354,鴻準,,1099280,-6
2355,敬鵬,,360463,1.8
2356,英業達,,3450110,2.9
2357,華碩,,1087371,-2.6
2358,廷鑫,,617657,-0.9
2359,所羅門,,1284867,-0.3
2360,致茂,,392144,-1
2362,藍天,,95058,3.5
2363,矽統,,630590,-0.3
2364,倫飛,,315818,0.5
2365,昆盈,,112015,4.3
2367,燿華,,2052141,0.1
2368,金像電,,3334807,1.1
2369,菱生,,351267,2.5
2371,大同,,3698877,8.9
2373,震旦行,,13071,-17.2
2374,佳能,,550263,0.7
2375,凱美,,134607,3.3
2376,技嘉,,2316682,-1.6
2377,微星,,1533955,-0.8
2379,瑞昱,,1135514,-2.8
2380,虹光,,164270,0.3
2382,廣達,,3030969,-2.8
2383,台光電,,863872,-0.5
2385,群光,,677859,3.5
2387,精元,,152216,-0.3
2388,威盛,,3178263,-0.3
2390,云辰,,404158,0.1
2392,正崴,,240967,2.5
2393,億光,,471747,-3.6
2395,研華,,371955,0.1
2397,友通,,5711,3.2
2399,映泰,,429340,-1.5
2401,凌陽,,740859,0.2
2402,毅嘉,,449922,-0.1
2404,漢唐,,164691,2.3
2405,輔信,,949866,-0.9
2406,國碩,,862891,-2.8
2408,南亞科,,3325903,-1.9
2409,友達,,16732800,0.7
2412,中華電,,3694002,-0.1
2413,環科,,338154,0.7
2414,精技,,33886,-9
2415,錩新,,50078,-2.2
2417,圓剛,,294980,0.3
2419,仲琦,,1011766,0.1
2420,新巨,,40184,-11.1
2421,建準,,443183,3.3
2423,固緯,,65689,1.5
2424,隴華,,7655,-2.3
2425,承啟,,314953,0.6
2426,鼎元,,344459,2.8
2427,三商電,,139953,2.8
2428,興勤,,102127,-3.3
2429,銘旺科,,6070,-5.8
2430,燦坤,,77353,-1.6
2431,聯昌,,53764,1.1
2433,互盛電,,6866,-6.4
2434,統懋,,12594,0.1
2436,偉詮電,,615320,-1.1
2438,翔耀,,13788,8.1
2439,美律,,230841,0.4
2440,太空梭,,65271,1.2
2441,超豐,,462787,-9.7
2442,新美齊,,269180,3.6
2443,昶虹,,22333,7.9
2444,兆勁,,179758,0.3
